Generation,a,b,c,Fitness
1,6.519503835940064,3.328261654109319,-2.774295504422575,-13.888560484254327
2,4.655897974882345,0.568354984584653,-3.1416730961196424,-9.34648607723794
3,4.655897974882345,0.568354984584653,-3.1416730961196424,-9.34648607723794
4,4.655897974882345,0.568354984584653,-3.1416730961196424,-9.34648607723794
5,4.655897974882345,0.568354984584653,-3.1416730961196424,-9.34648607723794
6,3.8079279764577816,2.207986248003068,-6.486988495476918,-8.255994540293164
7,3.076660127269331,2.4460202070366153,-13.17341732488243,-7.125643261588133
8,3.1794572100305434,1.04759859873578,-11.657143230878093,-6.5315009264325035
9,3.1265596528414505,1.063837566542901,-12.236998843027237,-6.434109034594577
10,2.5075648140956517,1.0563450868837427,-7.401685224660802,-5.23762934909799
11,1.789288916448585,1.2481649216603543,-11.208450187912959,-4.013922750462406
12,1.1709887824785592,0.37600114721263966,-7.896646093495862,-2.402344011169343
13,0.7813774171117602,0.10042485240362797,-6.171657253680586,-1.5692082783335177
14,0.1550820557366307,-0.3600144375962049,-9.155633515941906,-0.728040940169107
15,0.09618635919938823,0.18925354109125037,-10.11047108070026,-0.3785576572700542
16,0.08080323041980764,0.03626721345107739,-7.647636333935211,-0.1697454347684575
17,0.03799060222169748,0.024337673820480243,-9.401875911028647,-0.08377684773874883
18,0.03799060222169748,0.024337673820480243,-9.401875911028647,-0.08377684773874883
19,0.03799060222169748,0.024337673820480243,-9.401875911028647,-0.08377684773874883
20,0.03799060222169748,0.024337673820480243,-9.401875911028647,-0.08377684773874883
